Running on source code
Failed to get git commit hash, using hardcoded version number instead.
Hey testers! We recommend you use git to clone the repository, as it makes things easier for everyone.
There are instructions at https://discord.com/channels/1003759225522110524/1054942461178421289/1078170877117616169
WARNING: nonexistent sprite - scarsSCRATCHSIDE8
WARNING: nonexistent sprite - scarsSCRATCHSIDE9
WARNING: nonexistent sprite - scarsSCRATCHSIDE10
WARNING: nonexistent sprite - scarsSCRATCHSIDE11
WARNING: nonexistent sprite - scarsSCRATCHSIDE12
WARNING: nonexistent sprite - scarsSCRATCHSIDE13
WARNING: nonexistent sprite - scarsSCRATCHSIDE14
WARNING: nonexistent sprite - scarsSCRATCHSIDE15
WARNING: nonexistent sprite - scarsSCRATCHSIDE16
WARNING: nonexistent sprite - scarsSCRATCHSIDE17
WARNING: nonexistent sprite - scarsSCRATCHSIDE18
WARNING: nonexistent sprite - scarsSCRATCHSIDE19
WARNING: nonexistent sprite - scarsSCRATCHSIDE20
WARNING: nonexistent sprite - scarsTOE0
WARNING: nonexistent sprite - scarsTOE1
WARNING: nonexistent sprite - scarsTOE2
WARNING: nonexistent sprite - scarsTOE3
WARNING: nonexistent sprite - scarsTOE4
WARNING: nonexistent sprite - scarsTOE5
WARNING: nonexistent sprite - scarsTOE6
WARNING: nonexistent sprite - scarsTOE7
WARNING: nonexistent sprite - scarsTOE8
WARNING: nonexistent sprite - scarsTOE9
WARNING: nonexistent sprite - scarsTOE10
WARNING: nonexistent sprite - scarsTOE11
WARNING: nonexistent sprite - scarsTOE12
WARNING: nonexistent sprite - scarsTOE13
WARNING: nonexistent sprite - scarsTOE14
WARNING: nonexistent sprite - scarsTOE15
WARNING: nonexistent sprite - scarsTOE16
WARNING: nonexistent sprite - scarsTOE17
WARNING: nonexistent sprite - scarsTOE18
WARNING: nonexistent sprite - scarsTOE19
WARNING: nonexistent sprite - scarsTOE20
WARNING: nonexistent sprite - scarsBEAKSIDE0
WARNING: nonexistent sprite - scarsBEAKSIDE1
WARNING: nonexistent sprite - scarsBEAKSIDE2
WARNING: nonexistent sprite - scarsBEAKSIDE3
WARNING: nonexistent sprite - scarsBEAKSIDE4
WARNING: nonexistent sprite - scarsBEAKSIDE5
WARNING: nonexistent sprite - scarsBEAKSIDE6
WARNING: nonexistent sprite - scarsBEAKSIDE7
WARNING: nonexistent sprite - scarsBEAKSIDE8
WARNING: nonexistent sprite - scarsBEAKSIDE9
WARNING: nonexistent sprite - scarsBEAKSIDE10
WARNING: nonexistent sprite - scarsBEAKSIDE11
WARNING: nonexistent sprite - scarsBEAKSIDE12
WARNING: nonexistent sprite - scarsBEAKSIDE13
WARNING: nonexistent sprite - scarsBEAKSIDE14
WARNING: nonexistent sprite - scarsBEAKSIDE15
WARNING: nonexistent sprite - scarsBEAKSIDE16
WARNING: nonexistent sprite - scarsBEAKSIDE17
WARNING: nonexistent sprite - scarsBEAKSIDE18
WARNING: nonexistent sprite - scarsBEAKSIDE19
WARNING: nonexistent sprite - scarsBEAKSIDE20
WARNING: nonexistent sprite - scarsCATBITETWO0
WARNING: nonexistent sprite - scarsCATBITETWO1
WARNING: nonexistent sprite - scarsCATBITETWO2
WARNING: nonexistent sprite - scarsCATBITETWO3
WARNING: nonexistent sprite - scarsCATBITETWO4
WARNING: nonexistent sprite - scarsCATBITETWO5
WARNING: nonexistent sprite - scarsCATBITETWO6
WARNING: nonexistent sprite - scarsCATBITETWO7
WARNING: nonexistent sprite - scarsCATBITETWO8
WARNING: nonexistent sprite - scarsCATBITETWO9
WARNING: nonexistent sprite - scarsCATBITETWO10
WARNING: nonexistent sprite - scarsCATBITETWO11
WARNING: nonexistent sprite - scarsCATBITETWO12
WARNING: nonexistent sprite - scarsCATBITETWO13
WARNING: nonexistent sprite - scarsCATBITETWO14
WARNING: nonexistent sprite - scarsCATBITETWO15
WARNING: nonexistent sprite - scarsCATBITETWO16
WARNING: nonexistent sprite - scarsCATBITETWO17
WARNING: nonexistent sprite - scarsCATBITETWO18
WARNING: nonexistent sprite - scarsCATBITETWO19
WARNING: nonexistent sprite - scarsCATBITETWO20
WARNING: nonexistent sprite - scarsSNAKETWO0
WARNING: nonexistent sprite - scarsSNAKETWO1
WARNING: nonexistent sprite - scarsSNAKETWO2
WARNING: nonexistent sprite - scarsSNAKETWO3
WARNING: nonexistent sprite - scarsSNAKETWO4
WARNING: nonexistent sprite - scarsSNAKETWO5
WARNING: nonexistent sprite - scarsSNAKETWO6
WARNING: nonexistent sprite - scarsSNAKETWO7
WARNING: nonexistent sprite - scarsSNAKETWO8
WARNING: nonexistent sprite - scarsSNAKETWO9
WARNING: nonexistent sprite - scarsSNAKETWO10
WARNING: nonexistent sprite - scarsSNAKETWO11
WARNING: nonexistent sprite - scarsSNAKETWO12
WARNING: nonexistent sprite - scarsSNAKETWO13
WARNING: nonexistent sprite - scarsSNAKETWO14
WARNING: nonexistent sprite - scarsSNAKETWO15
WARNING: nonexistent sprite - scarsSNAKETWO16
WARNING: nonexistent sprite - scarsSNAKETWO17
WARNING: nonexistent sprite - scarsSNAKETWO18
WARNING: nonexistent sprite - scarsSNAKETWO19
WARNING: nonexistent sprite - scarsSNAKETWO20
WARNING: nonexistent sprite - scarsFOUR0
WARNING: nonexistent sprite - scarsFOUR1
WARNING: nonexistent sprite - scarsFOUR2
WARNING: nonexistent sprite - scarsFOUR3
WARNING: nonexistent sprite - scarsFOUR4
WARNING: nonexistent sprite - scarsFOUR5
WARNING: nonexistent sprite - scarsFOUR6
WARNING: nonexistent sprite - scarsFOUR7
WARNING: nonexistent sprite - scarsFOUR8
WARNING: nonexistent sprite - scarsFOUR9
WARNING: nonexistent sprite - scarsFOUR10
WARNING: nonexistent sprite - scarsFOUR11
WARNING: nonexistent sprite - scarsFOUR12
WARNING: nonexistent sprite - scarsFOUR13
WARNING: nonexistent sprite - scarsFOUR14
WARNING: nonexistent sprite - scarsFOUR15
WARNING: nonexistent sprite - scarsFOUR16
WARNING: nonexistent sprite - scarsFOUR17
WARNING: nonexistent sprite - scarsFOUR18
WARNING: nonexistent sprite - scarsFOUR19
WARNING: nonexistent sprite - scarsFOUR20
